name,name_alt,lat,lon
Астрахань,Астрахань,46.3655652,48.0559236
Ахтубинск,Ахтубинск,48.2752034,46.1906462
Знаменск,Знаменск,48.5866291,45.7368019
Харабали,Харабали,47.408999,47.2525345
Камызяк,Камызяк,46.110579,48.07333
Нариманов,Нариманов,46.6916565,47.8502476
Белгород,Белгород,50.5976472,36.5856652
Старый Оскол,Старый Оскол,51.2967101,37.8350182
Губкин,Губкин,51.2837123,37.5347759
Шебекино,Шебекино,50.4004883,36.8877889
Алексеевка,Алексеевка,50.6299647,38.6880342
Валуйки,Валуйки,50.2111207,38.0998772
Строитель,Строитель,50.7845099,36.4887648
Новый Оскол,Новый Оскол,50.7633747,37.8775484
Бирюч,Бирюч,50.6484585,38.4005083
Грайворон,Грайворон,50.4862958,35.6663877
Почеп,Почеп,52.9154851,33.4744058
Трубчевск,Трубчевск,52.5791734,33.7660547
Сураж,Сураж,53.0170888,32.3938878
Мглин,Мглин,53.0599771,32.8468129
Севск,Севск,52.1483358,34.4918415
Злынка,Злынка,52.4267015,31.7360399
Владимир,Владимир,56.1280804,40.4084376
Ковров,Ковров,56.3554349,41.3170576
Муром,Муром,55.5630311,42.0231362
Александров,Александров,56.391819,38.7111123
Гусь-Хрустальный,Гусь-Хрустальный,55.6198751,40.6579929
Кольчугино,Кольчугино,56.3327254,39.391336
Вязники,Вязники,56.29773,42.2687398
Киржач,Киржач,56.1486863,38.8635701
Юрьев-Польский,Юрьев-Польский,56.4937757,39.6680539
Собинка,Собинка,55.9939169,40.0179653
Радужный,Радужный,55.9960277,40.3321855
Покров,Покров,55.9166398,39.1734526
Лакинск,Лакинск,56.0180587,39.956551
Короча,Короча,50.8129041,37.1896436
Брянск,Брянск,53.2419535,34.3652146
Клинцы,Клинцы,52.7529119,32.233911
Новозыбков,Новозыбков,52.537173,31.9357991
Дятьково,Дятьково,53.5958178,34.3551812
Унеча,Унеча,52.8461199,32.6757629
Карачев,Карачев,53.1296524,34.9888727
Стародуб,Стародуб,52.5852257,32.760403
Жуковка,Жуковка,53.5340397,33.7302579
Сельцо,Сельцо,53.3739884,34.1059172
Меленки,Меленки,55.3387515,41.6340046
Карабаново,Карабаново,56.3131822,38.7034257
Петушки,Петушки,55.9298134,39.4508075
Струнино,Струнино,56.3749967,38.5839667
Гороховец,Гороховец,56.2021036,42.6926111
Камешково,Камешково,56.3490152,40.9955183
Судогда,Судогда,55.9498056,40.8562939
Суздаль,Суздаль,56.4274441,40.4525692
Костерёво,Костерево,55.9337222,39.6247398
Курлово,Курлово,55.452698,40.6124108
Волгоград,Волгоград,48.7070042,44.5170339
Волжский,Волжский,48.7978209,44.7462538
Дубовка,Дубовка,49.0554742,44.8270085
Жирновск,Жирновск,50.9768814,44.7858202
Калач-на-Дону,Калач-на-Дону,48.6889024,43.5306303
Камышин,Камышин,50.0651529,45.3844202
Котельниково,Котельниково,47.6310259,43.1330872
Котово,Котово,50.3205766,44.8030699
Ленинск,Ленинск,48.6936061,45.1992692
Михайловка,Михайловка,50.0708719,43.2401512
Николаевск,Николаевск,50.0165306,45.4731658
Новоаннинский,Новоаннинский,50.5296067,42.6666439
Палласовка,Палласовка,50.0500944,46.8804277
Петров Вал,Петров Вал,50.1380557,45.20914
Серафимович,Серафимович,49.5663183,42.7360402
Суровикино,Суровикино,48.618917,42.8541163
Урюпинск,Урюпинск,50.7903789,42.0288513
Фролово,Фролово,49.7649148,43.6648641
Бабаево,Бабаево,59.3892583,35.9377058
Белозерск,Белозерск,60.0308381,37.7890586
Великий Устюг,Великий Устюг,60.7603913,46.3054414
Вологда,Вологда,59.2483905,39.8355662
Вытегра,Вытегра,61.0063465,36.4495137
Грязовец,Грязовец,58.8757553,40.2485362
Кадников,Кадников,59.5037764,40.3441148
Кириллов,Кириллов,59.8591523,38.3748782
Красавино,Красавино,60.9612823,46.4814116
Никольск,Никольск,59.5351837,45.4576137
Сокол,Сокол,59.4758605,40.1114187
Тотьма,Тотьма,59.9734998,42.7589506
Устюжна,Устюжна,58.8383117,36.4425478
Харовск,Харовск,59.9479423,40.2000298
Череповец,Череповец,59.1269212,37.9090497
Воронеж,Воронеж,51.6593332,39.1969229
Борисоглебск,Борисоглебск,51.3655754,42.1008334
Россошь,Россошь,50.1701949,39.6226965
Лиски,Лиски,50.9945626,39.5184909
Острогожск,Острогожск,50.8677905,39.0407746
Нововоронеж,Нововоронеж,51.3091524,39.2162843
Бутурлиновка,Бутурлиновка,50.8311818,40.5976923
Семилуки,Семилуки,51.6951644,39.0190454
Павловск,Павловск,50.453455,40.136874
Калач,Калач,50.4242134,41.0162014
Бобров,Бобров,51.0901649,40.0318256
Поворино,Поворино,51.1954419,42.2472726
Богучар,Богучар,49.9352454,40.5590801
Эртиль,Эртиль,51.830932,40.8074182
Новохопёрск,Новохоперск,51.0952211,41.6173404
Иваново,Иваново,56.9993792,40.9728272
Кинешма,Кинешма,57.4425463,42.168914
Шуя,Шуя,56.8560234,41.3800939
Вичуга,Вичуга,57.2044698,41.9132201
Фурманов,Фурманов,57.2539276,41.1054432
Тейково,Тейково,56.8542719,40.5353874
Кохма,Кохма,56.9324606,41.0931657
Родники,Родники,57.1025975,41.7298834
Приволжск,Приволжск,57.3805743,41.2808565
Южа,Южа,56.5926877,42.0458099
Заволжск,Заволжск,57.4918141,42.1375625
Наволоки,Наволоки,57.4679066,41.9608002
Юрьевец,Юрьевец,57.3177781,43.1110401
Комсомольск,Комсомольск,57.0273052,40.3776851
Пучеж,Пучеж,56.9820688,43.1683321
Гаврилов Посад,Гаврилов Посад,56.5586946,40.1228906
Плёс,Плес,57.4606031,41.5122672
Иркутск,Иркутск,52.2864036,104.2807466
Алзамай,Алзамай,55.5551233,98.6643699
Ангарск,Ангарск,52.544879,103.888543
Байкальск,Байкальск,51.5230393,104.1487532
Бирюсинск,Бирюсинск,55.9609167,97.8205348
Бодайбо,Бодайбо,57.8468636,114.1866287
